source_url,retrieved_at,source_category,prompt_id,title,prompt_url,duplicate_in_source,source_highlight
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,未分類,370,ＡＩを使って、希望のプロンプトを探す,https://nanyo-city.jpn.org/download_prompt/download.php?download=370,no,yes
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,未分類,656,１文でOK、あとはAIにお任せ（自立駆動型）プロンプト,https://nanyo-city.jpn.org/download_prompt/download.php?download=656,no,yes
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,未分類,583,やりたいことをプロンプトに変換する,https://nanyo-city.jpn.org/download_prompt/download.php?download=583,no,yes
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,未分類,799,役職別・思考訓練設計プロンプト,https://nanyo-line.github.io/prompt/799.html,no,yes
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,未分類,539,生成AI対話エージェント,https://nanyo-city.jpn.org/download_prompt/download.php?download=539,no,yes
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,未分類,622,ユーザー部門別生成AI活用シナリオ＆推奨プロンプト作成,https://nanyo-city.jpn.org/download_prompt/download.php?download=622,no,yes
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,未分類,573,ファクトチェック支援,https://nanyo-city.jpn.org/download_prompt/download.php?download=573,yes,yes
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,未分類,801,良いたたき台をつくるプロンプト,https://nanyo-line.github.io/prompt/801.html,no,yes
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,未分類,802,AIを使うのが不安な方向けのプロンプト,https://nanyo-line.github.io/prompt/802.html,no,yes
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,未分類,803,選択（判断）に迷った時に使うプロンプト,https://nanyo-line.github.io/prompt/803.html,no,yes
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,文章作成・要約,5,文章案を作成,https://nanyo-city.jpn.org/download_prompt/download.php?download=5,no,no
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,文章作成・要約,284,季節と状況に応じたビジネス定型文作成,https://nanyo-city.jpn.org/download_prompt/download.php?download=284,no,no
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,文章作成・要約,518,最高のビジネスライティング,https://nanyo-city.jpn.org/download_prompt/download.php?download=518,no,no
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,文章作成・要約,56,新聞記事・学校新聞・学校だよりなどの原稿を作成する,https://nanyo-city.jpn.org/download_prompt/download.php?download=56,no,no
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,文章作成・要約,118,ホームページなどのサービス説明文章を作成する,https://nanyo-city.jpn.org/download_prompt/download.php?download=118,no,no
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,文章作成・要約,307,参加者を魅了するワークショップ告知文の作成,https://nanyo-city.jpn.org/download_prompt/download.php?download=307,no,no
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,文章作成・要約,120,具体的な成果につながるコンテンツを制作する,https://nanyo-city.jpn.org/download_prompt/download.php?download=120,no,no
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,文章作成・要約,121,インフォグラフィック用テキスト作成,https://nanyo-city.jpn.org/download_prompt/download.php?download=121,no,no
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,文章作成・要約,552,エモーショナルライティングによる文章の感情的訴求力の向上,https://nanyo-city.jpn.org/download_prompt/download.php?download=552,no,no
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,文章作成・要約,114,複数の文章を統合し、一貫性のある文章を作る,https://nanyo-city.jpn.org/download_prompt/download.php?download=114,no,no
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,文章作成・要約,822,文章の「迷子ポイント」検出・解消プロンプト,https://nanyo-line.github.io/prompt/822.html,no,no
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,文章作成・要約,21,メンバー周知用文書の作成,https://nanyo-city.jpn.org/download_prompt/download.php?download=21,no,no
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,文章作成・要約,320,ターゲットに向けたICTツール活用ガイド,https://nanyo-city.jpn.org/download_prompt/download.php?download=320,no,no
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,文章作成・要約,386,行政手続き案内パンフレットの作成とデザイン,https://nanyo-city.jpn.org/download_prompt/download.php?download=386,no,no
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,文章作成・要約,576,AIDA法に基づいた広報文生成,https://nanyo-city.jpn.org/download_prompt/download.php?download=576,no,no
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,文章作成・要約,579,希少性と緊急性を活用した広報文,https://nanyo-city.jpn.org/download_prompt/download.php?download=579,no,no
http://www.city.nanyo.yamagata.jp/dxchosei/5793,2026-07-12T01:28:53.056856+00:00,文章作成・要約,580,社会的証明を活用した効果的な広報文作成,https://nanyo-city.jpn.org/download_prompt/download.php?download=580,no,no
